timestamp,source,x,y,z,linear_velocity,angular_velocity
2024-12-12 13:32:44,plan,16.25000098720193,-3.799999311566353,0.0,,
2024-12-12 13:32:44,plan,16.208332285409142,-3.8000298291449326,0.0,,
2024-12-12 13:32:44,plan,16.183332285036613,-3.8000420361763645,0.0,,
2024-12-12 13:32:44,plan,16.158332284664084,-3.8000633984813703,0.0,,
2024-12-12 13:32:44,plan,16.133332284291555,-3.800087812544234,0.0,,
2024-12-12 13:32:44,plan,16.108332283919026,-3.800115278364956,0.0,,
2024-12-12 13:32:44,plan,16.083332283546497,-3.8001518994592516,0.0,,
2024-12-12 13:32:44,plan,16.058332283173968,-3.800197675827121,0.0,,
2024-12-12 13:32:44,plan,16.03333228280144,-3.8002495557107068,0.0,,
2024-12-12 13:32:44,plan,16.00833228242891,-3.8003075391100083,0.0,,
2024-12-12 13:32:44,plan,15.98333228205638,-3.8003777295407417,0.0,,
2024-12-12 13:32:44,plan,15.958332281683852,-3.800457075245049,0.0,,
2024-12-12 13:32:44,plan,15.933332281311323,-3.8005486279807883,0.0,,
2024-12-12 13:32:44,plan,15.908332280938794,-3.8006493359901015,0.0,,
2024-12-12 13:32:44,plan,15.883332280566265,-3.8007622510308465,0.0,,
2024-12-12 13:32:44,plan,15.858332280193736,-3.8008843213451655,0.0,,
2024-12-12 13:32:44,plan,15.833332279821207,-3.8010216504487744,0.0,,
2024-12-12 13:32:44,plan,15.808332279448678,-3.801171186583815,0.0,,
2024-12-12 13:32:44,plan,15.783332279076149,-3.801335981508146,0.0,,
2024-12-12 13:32:44,plan,15.75833227870362,-3.8015129834639083,0.0,,
2024-12-12 13:32:44,plan,15.733338381846806,-3.8017021924511027,0.0,,
2024-12-12 13:32:44,plan,15.708338381474277,-3.801906660227587,0.0,,
2024-12-12 13:32:44,plan,15.683338381101748,-3.8021263867933612,0.0,,
2024-12-12 13:32:44,plan,15.65833838072922,-3.8023613721484253,0.0,,
2024-12-12 13:32:44,plan,15.63333838035669,-3.802611616292779,0.0,,
2024-12-12 13:32:44,plan,15.608338379984161,-3.802874067468565,0.0,,
2024-12-12 13:32:44,plan,15.583344483127348,-3.8031548291914987,0.0,,
2024-12-12 13:32:44,plan,15.55834448275482,-3.8034539014615802,0.0,,
2024-12-12 13:32:44,plan,15.53334448238229,-3.8037651807630937,0.0,,
2024-12-12 13:32:44,plan,15.508350585525477,-3.804094770611755,0.0,,
2024-12-12 13:32:44,plan,15.483350585152948,-3.804439619249706,0.0,,
2024-12-12 13:32:44,plan,15.458356688296135,-3.804799726676947,0.0,,
2024-12-12 13:32:44,plan,15.433356687923606,-3.805181196409194,0.0,,
2024-12-12 13:32:44,plan,15.408356687551077,-3.8055748731728727,0.0,,
2024-12-12 13:32:44,plan,15.383362790694264,-3.8059868604836993,0.0,,
2024-12-12 13:32:44,plan,15.35836889383745,-3.8064171583416737,0.0,,
2024-12-12 13:32:44,plan,15.333368893464922,-3.806865766746796,0.0,,
2024-12-12 13:32:44,plan,15.308374996608109,-3.807332685699066,0.0,,
2024-12-12 13:32:44,plan,15.283381099751296,-3.807814863440626,0.0,,
2024-12-12 13:32:44,plan,15.258387202894482,-3.808318403487192,0.0,,
2024-12-12 13:32:44,plan,15.233387202521953,-3.8088372023230477,0.0,,
2024-12-12 13:32:44,plan,15.20839330566514,-3.809377363463909,0.0,,
2024-12-12 13:32:44,plan,15.183399408808327,-3.8099327833940606,0.0,,
2024-12-12 13:32:44,plan,15.15841161546723,-3.810509565629218,0.0,,
2024-12-12 13:32:44,plan,15.133417718610417,-3.811107710169381,0.0,,
2024-12-12 13:32:44,plan,15.108423821753604,-3.811721113498834,0.0,,
2024-12-12 13:32:44,plan,15.083429924896791,-3.8123589308911505,0.0,,
2024-12-12 13:32:44,plan,15.058442131555694,-3.813012007072757,0.0,,
2024-12-12 13:32:44,plan,15.03344823469888,-3.8136894973172275,0.0,,
2024-12-12 13:32:44,plan,15.008460441357784,-3.8143883498667037,0.0,,
2024-12-12 13:32:44,plan,14.98346654450097,-3.815105512963328,0.0,,
2024-12-12 13:32:44,plan,14.958478751159873,-3.8158440383649577,0.0,,
2024-12-12 13:32:44,plan,14.933490957818776,-3.8166069778294514,0.0,,
2024-12-12 13:32:44,plan,14.908503164477679,-3.817391279598951,0.0,,
2024-12-12 13:32:44,plan,14.883515371136582,-3.818196943673456,0.0,,
2024-12-12 13:32:44,plan,14.8585336813112,-3.8190300735686833,0.0,,
2024-12-12 13:32:44,plan,14.833545887970104,-3.8198815140110582,0.0,,
2024-12-12 13:32:44,plan,14.808564198144722,-3.820760420274155,0.0,,
2024-12-12 13:32:44,plan,14.783576404803625,-3.8216637406001155,0.0,,
2024-12-12 13:32:44,plan,14.758594714978244,-3.82259147498894,0.0,,
2024-12-12 13:32:44,plan,14.733613025152863,-3.823546675198486,0.0,,
2024-12-12 13:32:44,plan,14.708631335327482,-3.824526289470896,0.0,,
2024-12-12 13:32:44,plan,14.6836496455021,-3.8255333695640275,0.0,,
2024-12-12 13:32:44,plan,14.658674059192435,-3.826567915477881,0.0,,
2024-12-12 13:32:44,plan,14.63369847288277,-3.827629927212456,0.0,,
2024-12-12 13:32:44,plan,14.608722886573105,-3.828722456525611,0.0,,
2024-12-12 13:32:44,plan,14.58374730026344,-3.829842451659488,0.0,,
2024-12-12 13:32:44,plan,14.558771713953774,-3.8309929643719443,0.0,,
2024-12-12 13:32:44,plan,14.533802231159825,-3.8321770464208385,0.0,,
2024-12-12 13:32:44,plan,14.50882664485016,-3.8333916460483124,0.0,,
2024-12-12 13:32:44,plan,14.483863265571927,-3.834636763254366,0.0,,
2024-12-12 13:32:44,plan,14.458893782777977,-3.8359185015547155,0.0,,
